Track,Year,Driver,X,Y,Speed,DRS
Australian Grand Prix,2022,LEC,814.9677073535883,6635.621037816073,308.0,Off
Australian Grand Prix,2022,LEC,760.0,6469.0,308.8416672,Off
Australian Grand Prix,2022,LEC,745.4612765467847,6425.433962596103,309.0,Off
Australian Grand Prix,2022,LEC,661.0,6175.0,309.8416672,Off
Australian Grand Prix,2022,LEC,650.1954129822797,6143.829636939995,310.0,Off
Australian Grand Prix,2022,LEC,605.0,6030.0,311.3067340140423,Off
Australian Grand Prix,2022,LEC,560.6300354706918,5927.750063677115,312.0,Off
Australian Grand Prix,2022,LEC,529.0,5856.0,312.0,Off
Australian Grand Prix,2022,LEC,409.8410589993502,5590.20160800155,312.0,Off
Australian Grand Prix,2022,LEC,396.0,5558.0,312.17083413333336,Off
Australian Grand Prix,2022,LEC,350.8053925303582,5441.454664963356,313.0,Off
Australian Grand Prix,2022,LEC,325.0,5330.0,312.29499904,Off
Australian Grand Prix,2022,LEC,312.7310276225255,5263.232791129158,312.0,Off
Australian Grand Prix,2022,LEC,265.0,4950.0,312.6694449777778,Off
Australian Grand Prix,2022,LEC,255.72140690606085,4864.917496626254,313.0,Off
Australian Grand Prix,2022,LEC,258.0,4758.0,313.7531256,Off
Australian Grand Prix,2022,LEC,259.4421302619307,4694.169160097974,314.0,Off
Australian Grand Prix,2022,LEC,262.0,4617.0,314.18409134545453,Off
Australian Grand Prix,2022,LEC,289.0,4260.0,314.95681861818184,Off
Australian Grand Prix,2022,LEC,290.42599458257143,4243.624608286362,315.0,Off
Australian Grand Prix,2022,LEC,300.5675047904996,4129.85563852011,315.0,Off
Australian Grand Prix,2022,LEC,318.7008293368167,4008.138695131057,316.0,Off
Australian Grand Prix,2022,LEC,327.0,3965.0,316.0,Off
Australian Grand Prix,2022,LEC,393.36947073992974,3661.705174455161,316.0,Off
Australian Grand Prix,2022,LEC,398.0,3641.0,316.0,Off
Australian Grand Prix,2022,LEC,415.3635048583723,3562.152121059563,316.0,Off
Australian Grand Prix,2022,LEC,459.0,3439.0,316.0,Off
Australian Grand Prix,2022,LEC,467.7282211074196,3415.662800862663,316.0,Off
Australian Grand Prix,2022,LEC,553.0,3191.0,316.8875008,Off
Australian Grand Prix,2022,LEC,562.8683300759075,3165.749691019424,317.0,Off
Australian Grand Prix,2022,LEC,632.0789209906513,2998.719922395601,317.0,Off
Australian Grand Prix,2022,LEC,673.7770837305035,2917.7569401520427,318.0,Off
Australian Grand Prix,2022,LEC,717.0,2837.0,317.42142811428573,Off
Australian Grand Prix,2022,LEC,751.592255866163,2771.5825302537883,317.0,Off
Australian Grand Prix,2022,LEC,850.1637999467309,2591.434665391057,317.0,Off
Australian Grand Prix,2022,LEC,851.0,2590.0,317.00833386666665,Off
Australian Grand Prix,2022,LEC,943.0,2440.0,317.8416672,Off
Australian Grand Prix,2022,LEC,961.5716052337572,2412.134752605616,318.0,Off
Australian Grand Prix,2022,LEC,1023.0,2325.0,318.0,Off
Australian Grand Prix,2022,LEC,1063.8671218441425,2269.985969294284,318.0,Off
Australian Grand Prix,2022,LEC,1151.8537971176193,2158.7233394897,319.0,Off
Australian Grand Prix,2022,LEC,1176.0,2130.0,319.2625008,Off
Australian Grand Prix,2022,LEC,1245.9847967359858,2050.541318030045,320.0,Off
Australian Grand Prix,2022,LEC,1271.0,2023.0,319.82499946666667,Off
Australian Grand Prix,2022,LEC,1371.0,1917.0,319.16250026666665,Off
Australian Grand Prix,2022,LEC,1401.6706141311918,1886.108322973981,319.0,Off
Australian Grand Prix,2022,LEC,1620.0,1675.0,318.4522728727273,Off
Australian Grand Prix,2022,LEC,1730.6431400168967,1571.9307718495463,318.0,Off
Australian Grand Prix,2022,LEC,1830.0,1485.0,318.0,Off
Australian Grand Prix,2022,LEC,1841.066173836914,1475.4096430593877,318.0,Off
Australian Grand Prix,2022,LEC,2004.0,1336.0,316.78999936,Off
Australian Grand Prix,2022,LEC,2072.0,1280.0,316.28999936,Off
Australian Grand Prix,2022,LEC,2122.248781372756,1239.5129655819476,316.0,Off
Australian Grand Prix,2022,LEC,2323.0,1081.0,296.7219743660015,Off
